标题,类别
地蛆黑头蛆韭蛆土蚕地老虎金针虫蛴螬蝼蛄地下害虫农药杀虫剂 限量抢购500ml,农药
驱鸟剂驱鸟器机场果园专用药新型驱鸟剂专用驱赶麻雀鸽子喜鹊鸟飞绝 50克/瓶,农药
柯必达 高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 20ml一版（10瓶）,农药
沃德伊诺 永斗【500毫升】啶虫脒5% 乳油 蔬菜果树柑橘花椒 蚜虫飞虱蓟马杀虫剂 500ml,农药
吡虫啉 70%吡虫啉 蚜虫白粉虱蓟马小黑飞花卉蔬菜果树吡蚜酮噻虫嗪小白药农药杀虫剂 2克/袋,农药
中易购农资 韩威生物 0.3% 苦参碱 菜青虫蚜虫粉虱绿色有机蔬菜瓜果生物农药杀虫剂 200克/瓶,农药
戈击 爱卡螨金满枝富美实爱利思达月季花卉多肉绿植柑橘红蜘蛛套餐茶黄螨卵农药杀虫剂杀螨剂 15ml,农药
戈击勇冠联菊啶虫脒白粉虱专用药联苯菊酯啶虫脒小黑飞虱蓟马花卉蔬菜蚜虫蓟马绿盲蝽番茄小麦玉米杀虫剂农药 500毫升,农药
拜耳敌杀死 溴氰酯菊25克/升菊酯花卉蚜虫食心虫菜青虫花卉植物杀虫剂 4ml*10支/盒,农药
大丰收 介木杀10%吡虫啉噻嗪酮介壳虫水稻稻飞虱农药杀虫剂 500ml,农药
国光防蛀液剂20ml 氯菊酯树体杀天牛药杀虫剂树虫一针净钻心虫杀虫剂 国光防蛀液剂20ml*6支,农药
瀚沃 辛硫磷农药乳油绿植物果树花卉小飞虫蚜虫腻虫蔬菜土壤地下害虫灌根通用杀虫剂 500ml,农药
先正达 阿克泰 噻虫嗪月季多肉植物蚜虫飞虱蓟马绿叶蝉介壳虫杀虫剂 5g,农药
戈击 美国陶氏益农 艾绿士 乙基多杀菌素 60克/升 甜菜夜蛾小菜蛾蓟马稻纵卷叶螟果蝇 杀虫剂农药 100ml,农药
先正达 阿克泰 噻虫嗪月季多肉植物蚜虫飞虱蓟马绿叶蝉介壳虫杀虫剂 2g,农药
仙葩 3%呋虫胺小白药花卉植物多肉月季蚧介壳虫土壤家通专用杀虫剂 50g,农药
利沃 4.3%高氯甲维盐水稻蔬菜果树 抗性菜青虫小菜蛾卷叶螟钻心虫肉 农药杀虫剂 300ml 选项有重量提示,农药
东合阿维·啶虫脒果树小麦花卉蔬菜蚜虫蓟马粉虱食心虫青虫杀虫剂 500ml,农药
中保（ZhB）农药果树蔬菜水稻花卉小菜蛾卷叶虫菜青虫高氯甲维盐杀虫剂农药 100ml*1瓶,农药
中保 8000IU苏云金杆菌一月无虫苏云金杆茵钻心虫菜青虫菜蛾吊丝虫农药杀虫剂 300克/瓶,农药
5%阿维菌素水乳不伤幼果阿维菌素柑橘红蜘蛛螨虫线虫潜叶蛾杀虫剂 1000g,农药
戈击 美国陶氏益农 艾绿士 乙基多杀菌素 60克/升 甜菜夜蛾小菜蛾蓟马稻纵卷叶螟果蝇 杀虫剂农药 10ml,农药
中保农药氯氟吡氧乙酸异辛酯水花生阔叶杂草小麦田专用除草剂 30ml/袋,农药
标正点阵5.7%氟氯氰菊酯甘蓝蚜虫菜青虫棉铃虫小菜蛾桃蚜农药杀虫剂地老虎地下害虫甜菜夜蛾 20克,农药
农药1.8%阿维菌素蔬菜花卉果树高效农用红蜘蛛小菜蛾茶黄螨杀螨蚜虫根结线虫螨虫除虫药杀虫剂 500ml,农药
中保（ZhB）联苯菊酯杀虫剂 杀粉虱茶尺蠖茶毛虫白蚁农药 200ml/瓶,农药
22%联苯噻虫嗪杀虫剂蚜蓟马飞虱绿叶蝉农药联苯菊酯杀虫剂500g 500克,农药
仙葩杀虫药呋虫胺内吸式无臭小白药植物杀虫防虫药剂土壤杀虫剂 50g,农药
中保农药 70%吡虫啉 多肉花卉蚜虫粉虱稻飞虱 农药杀虫剂 5g,农药
日本住友灭扫利 甲氰酯菊聚酯 红蜘蛛菜青虫棉铃虫农药杀虫剂 1L,农药
中迅凯年图柑橘果树蔬菜花卉红黄白蜘蛛二斑叶螨杀虫剂农药杀螨剂红伏套装 （100+100）1套,农药
大丰收 杀虫螨 26%氯氟·啶虫脒水分散粒剂杀虫剂 500g*1瓶,农药
吡虫啉 花卉蔬菜果树腻虫蚜虫飞虱蓟马跳甲农药杀虫剂 10克*400袋,农药
中易购农资 韩孚 艾比乐 5%吡虫啉乳油蔬菜果树小麦水稻花卉多肉蚜虫白粉虱稻飞虱蓟马叶蝉农药杀虫剂 300ml一瓶,农药
安高打5%阿维菌素吡虫啉杀虫剂防治果树梨木虱蚜飞虱红蜘蛛杀虫剂1000克 1000g,农药
瀚沃 阿维高氯阿维菌素高效氯氰菊酯梨木虱潜叶蛾蚜虫针蜂果实蝇食叶害虫农药杀虫剂 1000g,农药
小白药内吸式无臭花卉花草兰花多肉蚧壳虫杀虫剂土壤杀虫药通用 250g,农药
瀚沃 2%苦参碱蚜虫菜青虫虱茶小绿叶蝉有机无公害生物农药杀虫剂 500g,农药
瀚沃 陶氏益农可立施 50%氟啶虫胺腈 果树盲蝽蟓烟粉虱蚜虫农药杀虫剂25g-100g 25g,农药
40%辛硫磷乳油农药杀虫剂罐根毒饵毒土地下害虫大瓶 500ml,农药
大棚烟雾剂蚜虫白粉虱红蜘蛛蓟马温室异丙威杀虫剂草莓大棚烟熏剂 400g,农药
海特农化（heartale） 海特农化果树园林花卉红蜘蛛锈壁虱农药杀螨剂阿维哒螨灵夺满 1000g,农药
中保 功夫5%高效氯氟氰菊酯 蔬菜果树花卉通用杀虫剂蚜虫菜青虫粘虫农药 200克*20瓶,农药
70%吡虫啉蚍呲虫林比虫灵农药蚜虫飞虱白粉虱果树花卉杀虫剂批发 吡虫啉5g袋装*100包,农药
联村 满昂 草莓柑橘红蜘蛛杀虫剂组合 阿维菌素乙螨唑 阿维螺螨酯 玫瑰月季杀螨剂套装果树农药杀虫剂 500克+500克+500克/套,农药
中易购农资 3%高氯吡虫啉果树蔬菜蚜虫菜青虫蓟马梨木虱稻飞虱农药杀虫剂 1L 1000克/瓶,农药
蚧壳虫专用药蚧必治杀虫剂介壳灵内吸型荣邦杀扑介果树花卉多肉蚜虫白粉虱渝锄店 500g*1瓶,农药
高巧 德国拜耳吡虫啉花生玉米小麦土豆棉花大豆 拌种剂种衣剂 12ml,农药
中易购农资 5% 多杀霉素 添加进口助剂 抗性蓟马蚜虫粉虱杀虫剂 跳甲杀虫剂农药 1000g/瓶,农药
大丰收 康宽 美国杜邦农药富美实氯虫苯甲酰胺水稻蔬菜钻心虫卷叶螟杀虫剂 5ml*10袋,农药
联村 一瓶好 柑橘蜜柚杀虫剂阿维螺螨酯脂红蜘蛛杀虫剂组合 阿维菌素乙螨唑 唑螨脂噻螨酮农药杀螨剂 500克+500克/套,农药
中保剑诛阿维啶虫 阿维菌素花卉蔬菜果树螨虫蚜虫白fen粉虱红蜘蛛白蜘蛛蓟马杀虫杀螨剂 10克/袋,农药
苏云金杆菌8000IU苏云金杆茵农药苏芸苏云金菌杆菌杀虫剂菜青虫 新货当天发货 500毫升*3瓶,农药
戈击10%吡虫啉克胜砑实净蚜虱净蚜虫飞虱腻虫农药杀虫剂水稻果树花卉蓟马蚜虫月季小黑飞灭虫农药店 10克*10袋,农药
沪联植保 赛安 70%啶虫脒 啶虫眯 水分散粒剂农药 防治黄瓜蔬菜蚜虫抗性蚜虫害 农用杀虫剂 3克/袋*50袋,农药
佳乐时高效氟氯氰菊酯5.7%百树菊酯蝼蛄蛴螬金针虫地老虎土蚕地下虫杀虫剂 20ml,农药
农药绿色威雷 绿雷二代 新威雷8%氯氰菊酯天牛杀虫剂授权直营商家 500ml,农药
国光红杀200ml红蜘蛛螨类叶螨花卉蔬菜果蔬杀螨剂杀虫剂花药200ml 国光红杀200ml,农药
佳乐时介首蚧壳虫杀虫剂柑橘柿子果树花椒月季多肉植物吡虫啉噻嗪酮蚧必治 200克,农药
瀚沃 安道麦杀虫双18%农药杀虫剂 果树大田蔬菜绿化园林花卉广谱杀虫剂 700g,农药
瀚沃 德国拜耳 敌杀死果树花卉蔬菜肉虫潜叶蛾蚜虫农药杀虫剂 250ml,农药
杀红蜘蛛杀虫剂螨卵双杀阿维菌素炔螨特螺螨酯红蜘蛛特效药 500斤水组合(1套),农药
联村 封剿 500克5%阿维菌素悬浮剂杀虫剂 柑橘果树园啊维菌素菌红蜘蛛农药杀螨剂 （封剿）悬浮剂500克,农药
美国杜邦康宽氯虫苯甲酰胺水稻蔬菜甘蔗钻心虫农药杀虫剂全码 5ml*50袋优惠价,农药
沪联植保 爱美乐 70%吡虫啉 水分散粒剂农药 甘蓝蔬菜瓜果蚜虫抗性蚜虫 农用高含量杀虫剂 100克/瓶*3瓶,农药
国光红杀/苯丁锡·哒螨灵/红蜘蛛/螨虫,农药
花药5%啶虫脒白粉虱杀虫剂花卉药剂植物果蔬通用内吸式蚧壳虫除虫剂 500毫升,农药
芭瑟曼薇  先正达福戈杀虫剂专治稻飞虱氯虫苯甲酰胺噻虫嗪甘蔗钻心虫专用药 4g,农药
利沃风 甲维盐+高效氯氟氰菊脂氟氯啶虫脒蔬菜青虫水稻卷叶螟甘蔗钻心虫农药杀虫剂抗性蚜虫 6%联菊啶虫脒500克 选项里面有重量,农药
喜得雨30%高效氯氰菊酯高氯马果树蔬菜桃树梨树苹果树食心虫夜蛾杀虫剂 1000ml,农药
中保（ZhB）阿乐泰 水稻稻飞虱 果树蔬菜蚜虫杀虫剂农药25%吡蚜酮 100g瓶装,农药
地下害虫杀虫剂地虫全杀熏蒸辛硫磷高效氯乳油蚂蚁地老虎蛴螬蝼蛄 900ml,农药
99%矿物油农药杀虫剂 红蜘蛛烟粉虱蚧壳虫杀螨剂 果树清园剂石硫合剂 99%矿物油1L*12瓶/件,农药
联村 根无线 淡紫紫孢菌果树大姜黄瓜西红柿蔬菜根结线虫杀虫剂微生物菌剂冲施剂 顽固性线虫噻唑膦磷农药 1000克/罐,农药
嘉绿元22%阿维菌素螺螨酯杀虫剂杀螨剂防治柑橘红蜘蛛螨卵农药瓜果花卉红蜘蛛杀虫剂500克 1000克,农药
中保农药 9%噻虫高氯氟噻虫嗪高效氯氟氰菊酯小麦花卉蚜虫专用杀虫剂 500克,农药
20%异丙威温室大棚蔬菜草莓蚜虫白粉虱蓟马烟雾剂烟熏杀虫剂农药 400g,农药
利沃风 烯啶虫胺 10%烯啶虫胺 白粉虱烟粉虱专用药稻飞虱果树瓜果蔬菜花卉 农药杀虫杀卵杀虫剂 1瓶 50ml/瓶,农药
沃德伊诺 联苯菊脂 10%茶联苯菊酯酯茶树茶园茶叶专用农药杀虫剂茶小绿叶蝉专用杀虫剂 200ml*5瓶,农药
大丰收 小白药 2%吡虫啉 多肉蚧壳虫蚜虫专用防月季花卉植物通用土壤杀虫剂 275g,农药
99%矿物油农药杀虫剂 红蜘蛛烟粉虱蚧壳虫杀螨剂 果树清园剂石硫合剂 99%矿物油4L*1壶,农药
利沃风 杀蜗牛专用药鼻涕虫蛞蝓灭蜗牛的药颗粒剂菜地花卉盆栽果树大田杀虫剂 200克,农药
国光蚧必治 啶虫毒死杀虫蜱杀蚧壳虫 农药杀虫剂 介壳虫 多肉植物用介必治 新包装必治 200ml,农药
农药联苯菊酯 胜喜 茶叶 叶蝉 蚜虫 毛毛虫  白粉虱 联苯菊脂酯杀虫剂 500ml,农药
联村 桔鸣 500克11%乙螨唑 柑橘蔬菜草莓红蜘蛛杀虫剂果树杀卵杀螨剂农药 500克,农药
中保5%阿维菌素 小麦水稻蔬菜通用菜青虫红蜘蛛根结线虫 杀虫剂 100ml/瓶,农药
大丰收5%唑螨酯红蜘蛛锈壁虱杀虫剂柑橘除虫杀螨剂虫卵兼杀果树 500g,农药
农药阿维菌素红蜘蛛药蚜虫介壳虫蚧壳虫果树花卉杀虫剂专用药草地贪夜蛾 200ml,农药
10%四螨嗪哒螨灵哒满灵达螨灵螓红白蜘蛛专用果树柑橘农药杀螨剂杀虫剂 1袋 20克/袋,农药
99%矿物油农药杀虫剂 红蜘蛛烟粉虱蚧壳虫杀螨剂 果树清园剂石硫合剂 99%矿物油1L*1瓶,农药
沃德伊诺 天令 20%吡虫啉杀虫剂腻虫植物通用蔬菜果树蚜虫除虫剂药蓟马植物杀虫高效小白药农药 500克,农药
国光农药专杀蜗牛药花卉草坪菜地杀螺剂 杀鼻涕虫药 蛞蝓 杀软体虫杀虫剂 四聚乙醛 国光诺定清500g,农药
果树杀虫剂葡萄树梨树桃树李子树枣树石榴树橘子树菜青虫地下害虫蚜虫食心虫专用杀虫剂农药 200克*5瓶,农药
仙葩3%呋虫胺内吸式小白药多肉介壳虫防虫药花卉小黑飞通用杀虫剂杀菌药 50g+勺子,农药
大丰收  德国拜耳农药亩旺特22.4%螺虫乙酯 果树园艺蔬菜农用介壳虫杀虫剂 100毫升,农药
戈击 农一网10%联苯菊酯木虱桃小食心虫茶小绿叶蝉茶叶果树卷叶蛾红白蜘蛛农药杀虫剂200g 200毫升 0.2kg,农药
戈击 禾益化工潜克75%灭蝇胺鬼画符美洲斑潜蝇蔬菜十字花科潜叶蛆杀虫剂农药农资店 4克,农药
新朝阳杀虫剂喷雾月季花卉盆栽植物花药杀腻虫蚜虫红蜘蛛蚧壳虫粉虱毛毛虫专杀家庭园艺蔬菜除虫药 浓缩液20ml,农药
瀚沃 高效氯氰菊酯 10% 果树蔬菜茶树棉花棉铃虫青虫腻虫蚜虫蓟马蟑螂臭虫地下害虫农药杀虫剂 一箱（500克*20瓶）,农药
2.5%高效氯氟氰菊酯蔬菜果树农药杀虫剂功夫菊酯菜青虫地下害虫蚜虫食心虫农药 500ml*1瓶,农药
蚧壳虫专用药蚧必治噻嗪酮介壳虫花卉柑橘果树多肉通用农药杀虫剂 500g,农药
联村  宝卓太太  柑橘抗性红蜘蛛杀虫剂 阿维菌素乙螨唑 螺螨脂 茄子月季玫瑰红蜘蛛农药杀螨剂组套装 顽固款100克+100克/套,农药
中保5%阿维菌素 小麦水稻蔬菜通用菜青虫红蜘蛛根结线虫 杀虫剂 100ml*40瓶,农药
沃德伊诺 溴氰酯菊 2.5% 杀虫剂 国产敌杀死果树花卉蔬菜杀虫药青虫毛毛虫蝗虫 河虾药灭蝗虫 200ml/瓶 新货当天配发,农药
中保 15%氟啶虫酰胺吡丙醚蔬菜果树抗性白粉虱蚜虫蓟马农药杀虫剂 100g*1瓶,农药
吸停70%啶虫脒杀虫剂桃树西瓜蚜虫腻虫蓟马飞虱飞虱绿叶蝉跳甲啶虫咪农药100克 3克,农药
中保（ZhB）农药杀虫剂高氯 高效氯氰菊酯  蔬菜果树棉花等通用害虫杀虫剂 400ml/瓶,农药
沃德伊诺 茶树专家10%联苯菊酯茶小绿叶蝉茶尺蠖粉虱蚜虫红蜘蛛茶树白蚁 杀虫剂 200毫升/瓶 0.2kg,农药
瀚沃 辛硫磷颗粒剂 3％ 辛硫磷农药 土壤土虫丹地老虎蛴螬蝼蛄金针虫 地下害虫杀虫剂 1000克*5袋,农药
熏虫12%异丙威哒螨灵大棚烟熏剂烟雾剂白粉虱蚜虫红蜘蛛虫卵杀虫剂药400克 400克,农药
富美实康宽杜邦氯虫苯甲酰胺水稻豆荚螟 蔬菜钻心虫卷叶螟杀虫剂 5ml*1袋  仙葩,农药
中保 15%氟啶虫酰胺吡丙醚蔬菜果树抗性白粉虱蚜虫蓟马农药杀虫剂 10g*1袋,农药
【虹越】2021年新品 石硫合剂 通用型除螨杀菌杀虫剂  清除叶螨介壳虫病菌虫卵 400g,农药
阿维啶虫脒花卉杀虫剂花药多肉植物通用介壳虫蚜虫红蜘蛛螨类花药家用盆栽蔬菜果树苗木园林广谱杀虫剂多菌灵 阿维·啶虫脒杀虫剂15ml(老包装 无赠品）,农药
25%阿维菌素螺螨酯 柑橘葡萄红蜘蛛茶黄螨叶螨杀螨剂杀虫剂 100克*5瓶,农药
2.5%高效氯氟氰菊酯果树蔬菜青虫腻虫药蚜虫地下害虫农药杀虫剂 500ml（3瓶装）,农药
联村 千百季 3%呋虫胺撒施剂花卉多肉小白药土壤杀虫剂杀菌剂防介壳虫小黑飞蚜虫盆栽小粉药家庭通用农药 50克呋虫胺+30克杀菌剂+60克杀虫剂,农药
华研阿维哒螨灵杀螨剂 多肉月季辣椒花卉蔬菜通用防治白蜘蛛红蜘蛛螨虫锈壁虱杀虫剂阿维菌素农药 10ml,农药
中保（ZhB）甲维盐茚虫威 小菜蛾 斜纹夜蛾 卷叶螟 蔬菜果树杀虫剂农药 100克,农药
农药敌百虫辛硫磷溶液钻心虫专杀土蚕蛴螬药地老虎蜘蛛杀虫剂果树 500ml,农药
大丰收 众植邦10%吡丙醚乳油农药杀虫剂 果园蔬菜蚧壳虫花蝇蚊子杀虫剂 500g,农药
甲青氰菊酯 鱼藤酮鱼藤精清塘灵威黄鳝泥鳅捕虾药农药 80ml/瓶,农药
联村 绿丙代 柑橘抗性红蜘蛛杀虫剂乙螨唑植物精油组合套装 丙溴磷阿维螺螨酯脂 果树杀虫剂农药杀螨剂 500克+500克/套,农药
18%噻嗪酮多肉蚧壳虫专用杀虫剂小白药介壳虫蚧必治除虫剂速扑铩 200克,农药
中保甲氨基阿维菌素甲维盐蔬菜果树花卉通用生物农药杀虫剂 1袋,农药
东合甲维虫螨腈蔬菜果树玉米钻心虫卷叶虫吊丝虫夜蛾青虫杀虫剂 一箱装【500g*20瓶】,农药
日本住友灭扫利 甲氰酯菊聚酯 红蜘蛛菜青虫棉铃虫农药杀虫剂 200ml,农药
利沃风 矿物油 99%矿物油果树介壳虫红蜘蛛烟粉虱生物杀螨农药杀虫剂清园剂 1000ml,农药
70%吡虫啉吡虫林吡虫灵比虫林比虫啉稻飞虱蚜虫蓟马农药杀虫剂 5g,农药
沃德伊诺 73%炔螨特 果树柑橘红蜘蛛杀虫剂白蜘蛛专杀叶螨农药杀螨虫剂 5瓶 1000克/瓶,农药
中保 功夫5%高效氯氟氰菊酯 蔬菜果树花卉通用杀虫剂蚜虫菜青虫粘虫农药 500克*20瓶,农药
瀚沃 蓟马杀虫剂 青虫小菜蛾 杀蓟马花蓟马叶蓟马头蓟马专用杀虫剂高效 200g,农药
仙葩3%呋虫胺内吸式小白药多肉植物月季花卉介壳虫蚜虫红蜘蛛稻飞虱小黑飞青虫土壤通用防虫药农药杀虫剂 仙葩3%呋虫胺蓝瓶杀虫剂250g,农药
戈击 益正源农资大鹏高含量乙螨唑红蜘蛛专杀螨虫卵特效药柑橘树蔬菜花卉蚜虫触杀型农药杀螨剂杀虫剂 1000ml,农药
中易购农资 有机蔬菜水果农产品  印楝素 绿色生物有机农药无残留 杀虫剂 100毫升/瓶,农药
沃德伊诺 5%啶虫脒 农药防治蚜虫抗性蚜虫蓟马柑橘果树果园豇豆蔬菜大田农用广谱杀虫剂1000ml,农药
中保农药 15%四聚乙醛 蜗牛蛞蝓鼻涕虫软体虫杀虫剂 200g,农药
沃德伊诺 天令 20%吡虫啉杀虫剂腻虫植物通用蔬菜果树蚜虫除虫剂药蓟马植物杀虫高效小白药农药 1000克,农药
利沃风  阿维哒螨灵 打上踩下10.5%阿维菌素哒螨灵 柑橘月季红蜘蛛锈壁虱螨虫杀螨剂专用药杀虫剂 5瓶200克的,农药
勇冠  农用农药阿维菌素红蜘蛛药蚜虫阿维茵素蔬菜果树农资杀虫剂专用药广谱高效 农用灭虫 300ml*5瓶,农药
国光施奇多肉植物花卉通用蚜虫小黑飞除虫小白药吡虫啉土壤杀虫剂 50g,农药
大丰收 99%矿物油农药物理防护隔绝虫螨介壳虫红蜘蛛杀螨农药杀虫剂清园剂 20L,农药
利沃 噻虫嗪 70% 噻虫嗪 果树蔬菜花卉多肉水稻甘蔗 蚜虫白fen虱棉蚜介壳虫蓟马地下害虫杀虫剂 3.5克*10袋,农药
戈击 农一网22%阿维菌素螺螨酯果树柑橘树蔬菜红蜘蛛螨虫农药果园杀螨杀虫药剂 500g,农药
优士10%高效氯氟氰菊酯粉剂灭苍蝇蚊子驱蟑螂药喷雾养殖场杀虫剂,农药
农药白粉虱专用药飞虱蚜虫小黑飞联菊啶虫脒花卉瓜果树蔬菜杀虫剂 1000g,农药
金鑫东阳甲氰菊脂杀螨剂柑橘红蜘蛛桃小食心虫杀虫剂 200ml,农药
农药白粉虱专用药飞虱蚜虫小黑飞联菊啶虫脒花卉瓜果树蔬菜杀虫剂 200克*5瓶,农药
40%辛硫磷乳油农药杀虫剂罐根毒饵毒土地下害虫大瓶 900ml【3瓶300毫升的】,农药
瀚沃 农药杀虫剂杀虫药土壤植物氯氰菊酯农用高效氯氟氰菊脂通用果树 1000ml,农药
22阿维菌素螺螨酯防治果树月季花卉柑橘红蜘蛛白蜘蛛螨卵杀虫剂杀螨剂农药阿维螺螨酯 500克,农药
利沃  四聚乙醛6% 杀灭蜗牛药 田螺鼻涕虫蛞蝓软体虫杀虫剂撒施草坪菜地 400g（两袋200克的）,农药
德国拜耳亩旺特螺虫乙酯植物月季蚜虫红蜘蛛专用药多肉介蚧壳虫白粉虱梨木虱农药杀虫剂 100ml*1瓶,农药
美国杜邦康宽氯虫苯甲酰胺水稻蔬菜甘蔗钻心虫农药杀虫剂全码 5ml*10袋,农药
天令 农药杀虫剂20%吡虫啉植物通用蔬菜果树蚜虫除虫剂杀虫药蓟马植物杀虫 100ml(现货当天配发),农药
安道麦 虹警 20%阿维菌素螺螨酯 柑橘月季红蜘蛛二斑叶螨杀螨剂 100ml,农药
四聚乙醛除蜗牛药螺丝鼻涕虫杀虫剂灭蜗牛的药专用颗粒剂农药 2000g（500克4袋）,农药
勇冠 植轻松 2.5%高效氯氟氰菊酯 功夫菊酯 水乳剂 蔬菜果树农药 防治菜青虫绿盲蝽虫害广谱杀虫剂 1000克,农药
利沃风 吡虫啉噻嗪酮 18%荣邦介首 果树多肉花卉月季蚧壳虫介壳虫专杀专用药农药速扑杀虫剂 200克*2瓶,农药
国光甲刻/吡虫啉·杀虫单/叶甲/象甲/地下害虫/潜叶害虫 40g,农药
备能高效氯氰菊酯10%蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫葡萄数梨树桃树李子树枣树石榴树橘子树 杀虫剂500ml*1瓶,农药
瀚沃 蓟马杀虫剂高效蓟马专用药豆角草莓茄子蔬菜蓟马绝杀抗性蓟马农药 500g,农药
拜耳敌杀死 溴氰酯菊25克/升菊酯花卉蚜虫食心虫菜青虫花卉植物杀虫剂 80ml/瓶,农药
中保农药 60%呋虫胺·吡蚜酮 内吸持效杀抗性蚜虫稻飞虱 杀虫剂 8克/袋,农药
沃德伊诺 天令 农药杀虫剂20%吡虫啉 植物通用蔬菜果树蚜虫除虫剂杀虫药蓟马植物杀虫药 整箱50瓶100毫升的,农药
中保甲氨基阿维菌素甲维盐蔬菜果树花卉通用生物农药杀虫剂 10克*50袋,农药
四聚乙醛 杀蜗牛专用药鼻涕虫蛞蝓灭蜗牛的药颗粒剂菜地花卉盆栽果树大田 200g*2袋,农药
5%啶虫脒啶虫咪 蔬菜果树茶叶蚜虫飞虱蓟马跳甲绿叶蝉杀虫剂 1000ml,农药
瀚沃 生物农药鱼藤酮鱼藤精2.5% 蚜虫 黄曲跳甲生物杀虫剂 100ml,农药
石硫合剂矿物油  红蜘蛛梨木虱矢尖蚧蚧壳虫 杀虫剂冬季果树清园 200g,农药
